market_key,market,scenario_id,scenario,is_baseline,sensitivity_value,n,strategy,efficiency_credit,eligible_replications,efficient_share
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,150,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,150,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,200,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,200,Customers search,50.0,100,0.5
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,25,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,50,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,100,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,150,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,200,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,25,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,50,Both sides search,98.0,100,0.98
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,50,Providers search,2.0,100,0.02
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,100,Both sides search,79.0,100,0.79
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,100,Customers search,13.0,100,0.13
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,100,Providers search,8.0,100,0.08
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,150,Both sides search,5.0,100,0.05
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,150,Customers search,60.0,100,0.6
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,150,Providers search,35.0,100,0.35
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,200,Customers search,60.0,100,0.6
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,200,Providers search,40.0,100,0.4
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,25,Both sides search,89.0,100,0.89
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,25,Customers search,3.0,100,0.03
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,25,Providers search,8.0,100,0.08
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,50,Both sides search,37.5,100,0.375
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,50,Customers search,37.0,100,0.37
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,50,Providers search,25.5,100,0.255
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,100,Customers search,55.0,100,0.55
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,100,Providers search,45.0,100,0.45
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,150,Customers search,52.5,100,0.525
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,150,Providers search,47.5,100,0.475
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,200,Customers search,62.0,100,0.62
care,Care.com / childcare,care_d_0.10,d_I=d_J=0.10,False,0.1,200,Providers search,38.0,100,0.38
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,25,Both sides search,2.0,100,0.02
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,25,Customers search,49.0,100,0.49
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,25,Providers search,49.0,100,0.49
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,50,Customers search,53.0,100,0.53
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,50,Providers search,47.0,100,0.47
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,100,Customers search,52.5,100,0.525
