market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,replication,strategy,interactions_total,interactions_per_customer,welfare,optimal_welfare,welfare_ratio,welfare_regret,match_rate,runtime_ms,baseline_prediction,centralized_sufficient_condition,z,rejections,acceptances,displacements,provider_initiated_contacts,recommendations_per_customer,accepted_recommendations
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,0,Centralized matching,625,25.0,21.0,23.400000000000002,0.8974358974358974,0.10256410256410264,0.84,0.4743999961647205,Customers search,False,,,,,,25.0,60.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,1,Customers search,197,7.88,18.599999999999998,19.0,0.9789473684210526,0.021052631578947434,1.0,0.6437999982153997,Customers search,False,,135.0,62.0,37.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,1,Providers search,238,9.52,19.0,19.0,1.0,0.0,1.0,0.9878000055323355,Customers search,False,,169.0,69.0,44.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,1,Both sides search,209,8.36,19.0,19.0,1.0,0.0,1.0,0.5263999992166646,Customers search,False,0.4,0.0,78.0,53.0,131.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,1,Centralized matching,625,25.0,11.0,19.0,0.5789473684210527,0.42105263157894735,0.44,0.5196000056457706,Customers search,False,,,,,,25.0,15.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,1,Customers search,120,4.8,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.39989999640965834,Customers search,False,,66.0,54.0,29.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,1,Providers search,183,7.32,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.5700000037904829,Customers search,False,,151.0,32.0,7.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,1,Both sides search,291,11.64,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.19320000137668103,Customers search,False,0.4,0.0,46.0,21.0,245.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,1,Centralized matching,625,25.0,13.0,20.200000000000003,0.6435643564356435,0.35643564356435653,0.52,0.3859999997075647,Customers search,False,,,,,,25.0,23.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,1,Customers search,90,3.6,21.8,21.800000000000004,0.9999999999999999,1.1102230246251565e-16,1.0,0.32920000376179814,Customers search,False,,27.0,63.0,38.0,,,
