market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,strategy,baseline_prediction,centralized_sufficient_condition,replications,mean_interactions,sd_interactions,p05_interactions,median_interactions,p95_interactions,mean_welfare_ratio,sd_welfare_ratio,p05_welfare_ratio,median_welfare_ratio,p95_welfare_ratio,mean_match_rate,sd_match_rate,mean_runtime_ms,se_interactions,ci95_low_interactions,ci95_high_interactions,ci95_low_welfare_ratio,ci95_high_welfare_ratio,ci95_low_match_rate,ci95_high_match_rate
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,100,0.1,0.1,0.2,Customers search,Customers search,False,10,8.374,0.4888808080140238,7.689,8.55,8.965,0.9991323169584039,0.001829241845265087,0.9956606437041221,0.9999999999999999,1.0000000000000002,1.0,0.0,2.573050001228694,0.15459768576678137,8.07098853589711,8.677011464102891,0.9979985411164278,1.00026609280038,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,100,0.1,0.1,0.2,Providers search,Customers search,False,10,13.483,1.473220583921121,11.5025,13.69,15.375499999999999,0.9991189427312774,0.0018574318121401077,0.9955947136563873,0.9999999999999999,1.0,1.0,0.0,4.318769999372307,0.4658732541033976,12.56988842195734,14.39611157804266,0.9979676945668133,1.0002701908957414,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,Both sides search,Customers search,False,10,11.904,0.5287133228676741,11.294,11.82,12.677999999999999,1.0,1.5700924586837752e-16,0.9999999999999999,1.0,1.0000000000000002,1.0,0.0,0.18434000085107982,0.16719383295378373,11.576300087410583,12.231699912589416,0.9999999999999999,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,Centralized matching,Customers search,False,10,25.0,0.0,25.0,25.0,25.0,0.675045037654763,0.04550553026391016,0.6229372937293729,0.6615880034605401,0.7326435246995995,0.556,0.051467357508316734,0.4112199996598065,0.0,25.0,25.0,0.6468404177882978,0.7032496575212281,0.524100201324216,0.5878997986757841
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,Customers search,Customers search,False,10,3.432,0.6986463101360136,2.734,3.3,4.566,1.0,7.401486830834377e-17,1.0,1.0,1.0000000000000002,1.0,0.0,0.3017499991983641,0.2209313618902185,2.998974530695172,3.865025469304828,1.0,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,Providers search,Customers search,False,10,8.3,1.0112698288126005,7.236000000000001,8.16,9.787999999999998,0.9980952380952381,0.006023386019368352,0.9895238095238095,1.0,1.0,1.0,0.0,0.6497499998658895,0.3197915988056388,7.673208466340949,8.926791533659053,0.9943619047619048,1.0018285714285715,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,50,0.1,0.1,0.4,Both sides search,Customers search,False,10,4.51,0.7798717843338097,3.712,4.27,5.844999999999999,1.0,1.1102230246251565e-16,0.9999999999999999,1.0,1.0000000000000002,1.0,0.0,0.7403800002066419,0.24661711213944584,4.026630460206686,4.9933695397933135,0.9999999999999999,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,50,0.1,0.1,0.4,Centralized matching,Customers search,False,10,50.0,0.0,50.0,50.0,50.0,0.8710357390163432,0.03727461776555184,0.825892857142857,0.8765929535232382,0.9218648998060761,0.8019999999999999,0.0511642236115997,0.7676100001845043,0.0,50.0,50.0,0.8479326915702845,0.894138786462402,0.770288085659943,0.8337119143400569
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,50,0.1,0.1,0.4,Customers search,Customers search,False,10,4.51,0.7798717843338097,3.712,4.27,5.844999999999999,1.0,1.1102230246251565e-16,0.9999999999999999,1.0,1.0000000000000002,1.0,0.0,0.7341699980315752,0.24661711213944584,4.026630460206686,4.9933695397933135,0.9999999999999999,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,50,0.1,0.1,0.4,Providers search,Customers search,False,10,13.49,1.3182901383568366,11.548,13.58,15.258999999999997,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.156129998184042,0.4168799454146106,12.672915306987363,14.307084693012637,1.0,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,100,0.1,0.1,0.4,Both sides search,Customers search,False,10,5.918,1.1033867056577318,4.1825,6.25,7.2085,0.9995951417004049,0.001280274356343476,0.9977732793522267,1.0,1.0000000000000002,1.0,0.0,1.9066000008024275,0.3489215129828228,5.234113834553668,6.6018861654463326,0.9988016194331983,1.0003886639676114,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,100,0.1,0.1,0.4,Centralized matching,Customers search,False,10,100.0,0.0,100.0,100.0,100.0,0.983354948518355,0.009577933729322499,0.9687375049980008,0.9868377917650145,0.9939759036144579,0.9719999999999999,0.015491933384829681,1.7196699998748954,0.0,100.0,100.0,0.9774184836892443,0.9892914133474657,0.9623980002082898,0.9816019997917099
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,100,0.1,0.1,0.4,Customers search,Customers search,False,10,5.918,1.1033867056577318,4.1825,6.25,7.2085,0.9995951417004049,0.001280274356343476,0.9977732793522267,1.0,1.0000000000000002,1.0,0.0,1.8769899987091776,0.3489215129828228,5.234113834553668,6.6018861654463326,0.9988016194331983,1.0003886639676114,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,100,0.1,0.1,0.4,Providers search,Customers search,False,10,21.296,2.341296886580409,17.73,21.355,24.2175,0.9983789077638721,0.0028376232416005777,0.9937065929363748,1.0,1.0000000000000002,1.0,0.0,6.9019100003060885,0.7403830840255007,19.84484915531002,22.74715084468998,0.996620130657234,1.0001376848705101,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,Both sides search,Customers search,False,10,2.7359999999999998,0.4968165321994295,2.06,2.74,3.42,1.0,8.275113844157577e-17,0.9999999999999999,1.0,1.0000000000000002,1.0,0.0,0.2533999999286607,0.157107182097658,2.4280699230885903,3.0439300769114093,1.0,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,Centralized matching,Customers search,False,10,25.0,0.0,25.0,25.0,25.0,0.7844027289619635,0.0571189146670754,0.7102350058978314,0.7798165137614679,0.8565794536360138,0.688,0.07254117604658902,0.3792899995460175,0.0,25.0,25.0,0.7490000588683112,0.8198053990556158,0.6430385132709239,0.732961486729076
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,Customers search,Customers search,False,10,2.7359999999999998,0.4968165321994295,2.06,2.74,3.42,1.0,8.275113844157577e-17,0.9999999999999999,1.0,1.0000000000000002,1.0,0.0,0.24197999882744625,0.157107182097658,2.4280699230885903,3.0439300769114093,1.0,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,Providers search,Customers search,False,10,10.459999999999999,1.0936991258009572,8.86,10.24,11.71,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8442399994237348,0.34585803124660525,9.782118258756652,11.137881741243346,1.0,1.0,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,50,0.1,0.1,0.6,Both sides search,Customers search,False,10,3.55,0.7756431023494131,2.747,3.43,4.741,0.9975409836065573,0.0039593925536036845,0.9918032786885246,1.0,1.0,1.0,0.0,0.6030500000633765,0.2452798854823245,3.069251424454644,4.030748575545356,0.9950869266770181,0.9999950405360964,1.0,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,50,0.1,0.1,0.6,Centralized matching,Customers search,False,10,50.0,0.0,50.0,50.0,50.0,0.9573312195010477,0.022092845226682586,0.9229343220338981,0.9631147540983606,0.9859697250132204,0.93,0.03299831645537222,0.7766500006255228,0.0,50.0,50.0,0.9436379321627081,0.9710245068393873,0.909547431565802,0.9504525684341981
